appartement;studio;maison;chambre;nb_photo;prix;nb_pieces;nb_chambres;surface;distance_station_0;distance_station_1;distance_station_2;Cathédrale Notre-Dame de Paris;Basilique du Sacré-Cœur de Montmartre;Musée du Louvre;Tour Eiffel;Centre Pompidou;Musée d’Orsay;Cité des sciences et de l’industrie;Chapelle Notre-Dame de la Médaille miraculeuse;Grand site du Jardin des plantes;Arc de triomphe;Grand Palais;distance_université_plus_près;arrondissement
1;0;0;0;7;549000;2;1;46;233.02283266792;538.721126543583;415.980595009614;3742.08725662059;5555.02484429143;3267.66379666767;1465.7097926839;4178.28780106367;2505.15295045097;8513.35099347483;1765.90887099699;3853.8971949192;3155.79603570409;2450.31542708972;2113.80178058848;1
1;0;0;0;15;979000;3;2;85;92.5329141895007;673.767563391813;646.818941690853;4816.57477764253;6186.18104330837;4215.64914941208;1491.75161123954;5187.48146074163;3396.17682581629;9328.17951878853;2820.72546059262;4962.00009206266;3134.83930251319;2968.09946163786;1826.94850423566;1
1;0;0;0;14;970000;4;3;84;324.836584104847;379.700666555462;389.966730966811;5018.36141879341;6439.468598501;4448.32073405745;1737.28345074111;5410.13787330885;3634.40566000452;9577.12799839205;3027.41612166583;5138.79565085874;3357.44888218062;3221.35668072263;2034.50279921263;1
1;0;0;0;0;650000;2;1;57;232.572392350657;816.098153163003;827.569614439521;4558.2524932676;6091.86858136403;4010.40444170025;1506.07687299114;4960.20169964156;3207.37895691393;9178.35791695799;2569.29554542488;4679.44172461096;3208.36574864154;2888.05478831593;1948.55895630794;1
0;1;0;0;5;150000;1;0;11;133.811281858767;228.862815209562;327.700057498616;2580.21117026773;4848.31285776229;3566.78603650872;6668.37716739696;2534.09422986249;4358.69835856533;4735.6787450644;4571.13813931374;2495.61677083497;6988.80200888521;5536.27291598319;2573.96852725234;0
1;0;0;0;9;795000;2;1;60;133.360116529501;286.093827589314;397.777753422579;2100.05215637282;2000.12177301038;1784.3237229064;4792.56701563293;1236.40235293999;2554.74115217988;3547.73385538895;3372.07043428055;2782.30217865631;4535.03107106478;3318.66988906959;2530.58234336132;0
1;0;0;0;12;575000;2;1;48;400.930878200941;269.343633869126;498.223756409978;2783.35528445523;1834.26297870174;2490.50149098593;5391.42846891797;1929.29069869581;3227.50784733281;2826.88058311895;4083.03824565212;3429.03657932023;4960.63800368956;3870.59142038292;3247.92275171746;0
1;0;0;0;11;695000;4;3;79;341.705412992037;616.395673171893;417.199731800158;3956.52743018175;820.971667886121;3254.91155107712;5499.04631527126;3102.70845878866;3755.11960431952;2619.77579234746;4762.60903492769;4673.6843899033;4611.53602116271;3935.35560833997;4253.23111431133;1
1;0;0;0;6;420000;2;1;40;72.9703604529728;507.634259360433;875.747085392816;3783.22798007932;438.783868858538;2985.75992976065;5113.40376003006;2948.37833433709;3430.69303266485;3014.96462651768;4452.73746137155;4517.77669320413;4215.17853838855;3552.72250420556;4021.88559266826;1
1;0;0;0;12;1060000;3;2;86;346.450428006887;335.618464676913;423.649259833541;1265.81472383907;2599.21601904444;458.474435288507;3614.06429615407;749.629922686402;1279.90531923708;4864.59379194603;2044.1901462749;2015.9303477794;3709.93652775075;2289.13809136688;1369.3255714532;0
1;0;0;0;8;430000;2;1;48;253.987003926164;362.053377360689;617.878427153117;2522.46748559624;6224.01141905457;3751.93583743575;5960.58478345663;3230.45937261929;4172.56489525232;7161.26752461947;3743.59889129648;1794.29092957119;6913.52870230846;5410.60221047436;1116.89735320547;1
1;0;0;0;11;945000;4;3;95;486.768292008026;548.408833921751;778.005025781647;3222.81028129271;6945.08946253311;4105.05227280962;5179.2532852943;4086.23158172115;4131.11471740448;8596.76092817956;3289.38410227188;2556.58354666294;6522.53233553214;5165.34198150863;2512.80613316852;1
1;0;0;0;10;598000;2;1;54;232.249832400977;569.519253418759;630.357055831474;2998.90853506658;2379.52386783708;2938.89186002638;5951.55711563215;2199.41659777813;3725.03373804395;2513.50326246855;4511.21204440949;3560.08877884932;5576.95924855235;4452.15558614799;3551.31278085998;0
1;0;0;0;10;332000;2;1;38;153.986598769505;481.76511613024;663.988845244265;3084.28979015178;2357.92585127936;3006.86603739884;6002.20595498935;2281.1423433229;3787.07847166827;2427.63139438667;4582.85870391294;3648.14963783142;5604.45140570411;4496.31348556552;3632.7142663896;0
1;0;0;0;3;915000;4;3;84;257.988655215963;368.23159422199;759.710073304503;4131.73065563074;6460.22301560999;3946.06189019124;2477.38948249089;4722.45815659808;3289.71054030412;9256.14294630875;2353.53130020412;4052.15049641189;4189.63779783149;3452.83839572835;3075.18186162049;1
1;0;0;0;10;998000;4;2;98;279.254449051036;390.022172821856;415.81984015941;4757.89860340552;3097.10210744917;3501.0515616103;2631.00929959753;4395.22059558966;3018.96894185131;6527.01979676476;3750.0918449022;5407.56846171248;975.465139251123;1873.4801570445;2318.49174155929;1
1;0;0;0;7;790000;5;3;101;359.883503440459;771.441019830135;367.416794909296;4645.23867831104;2240.16357647795;4265.38391772087;6840.19417417481;3793.23489170693;4908.62188737074;1201.49658736709;5848.59151000003;5271.85483648341;6028.15574042494;5272.46895633217;5103.93305371907;1
